id,program_id,program_type,program_duration,test_id,test_type,difficulty_level,trainee_id,gender,education,city_tier,age,total_programs_enrolled,is_handicapped,trainee_engagement_rating,is_pass
12306_87,V_2,V,121,87,offline,easy,12306,M,High School Diploma,2,28.0,2,N,1.0,1
19063_116,Y_4,Y,121,116,offline,hard,19063,F,Bachelors,1,43.0,4,N,4.0,1
19637_114,Y_4,Y,121,114,offline,intermediate,19637,M,Bachelors,1,47.0,2,N,4.0,1
5064_129,Y_3,Y,135,129,offline,hard,5064,M,High School Diploma,2,,2,N,4.0,1
17326_94,V_1,V,133,94,offline,easy,17326,F,Matriculation,3,28.0,4,N,1.0,0
7840_120,Y_4,Y,121,120,online,easy,7840,M,High School Diploma,1,28.0,2,N,4.0,1
2334_154,Y_1,Y,136,154,online,easy,2334,F,Bachelors,4,18.0,2,N,2.0,1
6112_75,V_4,V,122,75,online,easy,6112,M,Matriculation,2,,2,N,4.0,1
1039_49,U_2,U,122,49,offline,intermediate,1039,F,Matriculation,2,41.0,3,N,3.0,1
13292_58,U_1,U,134,58,offline,intermediate,13292,M,Matriculation,2,,2,N,1.0,0
9501_162,Z_3,Z,130,162,offline,easy,9501,F,High School Diploma,2,30.0,1,N,1.0,1
11657_29,T_3,T,134,29,online,easy,11657,F,High School Diploma,3,29.0,4,N,1.0,1
10962_47,T_1,T,131,47,offline,hard,10962,F,High School Diploma,3,29.0,2,N,1.0,0
13487_150,Y_1,Y,136,150,offline,intermediate,13487,M,Matriculation,3,,4,N,1.0,0
11360_81,V_3,V,131,81,offline,intermediate,11360,F,High School Diploma,1,,2,N,1.0,1
16959_185,Z_1,Z,136,185,online,easy,16959,F,Matriculation,4,45.0,1,Y,1.0,1
9192_82,V_3,V,131,82,offline,intermediate,9192,M,Matriculation,4,,3,N,2.0,1
13166_147,Y_2,Y,120,147,online,easy,13166,F,High School Diploma,2,,3,N,4.0,0
10491_95,V_1,V,133,95,offline,easy,10491,F,High School Diploma,1,47.0,2,N,2.0,1
15365_46,T_1,T,131,46,offline,hard,15365,F,High School Diploma,1,,2,N,2.0,0
17971_44,T_1,T,131,44,offline,easy,17971,M,Matriculation,2,45.0,4,Y,1.0,1
6684_155,Y_1,Y,136,155,online,easy,6684,M,High School Diploma,3,,3,N,3.0,1
352_126,Y_3,Y,135,126,offline,intermediate,352,M,High School Diploma,2,28.0,2,N,2.0,1
4253_14,T_4,T,120,14,offline,intermediate,4253,F,High School Diploma,3,42.0,4,N,1.0,1
12445_141,Y_2,Y,120,141,offline,hard,12445,M,High School Diploma,1,,2,N,2.0,1
14723_44,T_1,T,131,44,offline,easy,14723,M,Bachelors,2,27.0,4,N,1.0,1
13970_36,T_2,T,117,36,offline,intermediate,13970,F,Matriculation,3,35.0,2,Y,1.0,1
12350_147,Y_2,Y,120,147,online,easy,12350,M,Bachelors,1,,4,N,3.0,0
9319_41,T_2,T,117,41,online,easy,9319,F,Matriculation,1,,6,N,2.0,1
19141_61,U_1,U,134,61,online,easy,19141,M,Matriculation,2,,2,N,1.0,1
9891_28,T_3,T,134,28,online,easy,9891,F,High School Diploma,2,,2,N,1.0,1
14046_63,U_1,U,134,63,online,easy,14046,M,Bachelors,2,,4,N,5.0,1
1538_116,Y_4,Y,121,116,offline,hard,1538,F,Matriculation,3,47.0,2,N,5.0,0
2378_138,Y_2,Y,120,138,offline,intermediate,2378,M,High School Diploma,1,48.0,3,N,2.0,1
1117_129,Y_3,Y,135,129,offline,hard,1117,M,Matriculation,3,,2,N,4.0,1
3622_82,V_3,V,131,82,offline,intermediate,3622,F,No Qualification,4,,2,N,1.0,0
9040_28,T_3,T,134,28,online,easy,9040,F,High School Diploma,3,,5,N,1.0,1
2106_8,S_1,S,135,8,offline,intermediate,2106,F,High School Diploma,3,31.0,4,N,3.0,1
6490_24,T_3,T,134,24,offline,intermediate,6490,F,High School Diploma,2,42.0,2,N,3.0,1
5936_120,Y_4,Y,121,120,online,easy,5936,F,Matriculation,3,,2,N,5.0,0
8119_86,V_3,V,131,86,offline,vary hard,8119,M,High School Diploma,2,24.0,3,Y,1.0,0
1028_12,T_4,T,120,12,offline,intermediate,1028,F,Matriculation,3,45.0,2,N,4.0,1
473_7,S_1,S,135,7,offline,intermediate,473,F,Bachelors,1,,2,N,4.0,1
10654_80,V_3,V,131,80,offline,easy,10654,M,High School Diploma,3,,2,N,2.0,1
13322_105,X_2,X,121,105,offline,intermediate,13322,M,Matriculation,2,27.0,2,N,2.0,1
15866_44,T_1,T,131,44,offline,easy,15866,F,Matriculation,1,,4,N,2.0,1
2148_66,V_4,V,122,66,offline,easy,2148,M,Matriculation,2,25.0,7,N,1.0,1
5493_84,V_3,V,131,84,offline,intermediate,5493,M,High School Diploma,1,49.0,2,N,2.0,0
12005_80,V_3,V,131,80,offline,easy,12005,M,Bachelors,3,24.0,4,N,2.0,1
13799_158,Y_1,Y,136,158,online,easy,13799,M,High School Diploma,3,44.0,2,N,4.0,1
11367_82,V_3,V,131,82,offline,intermediate,11367,F,High School Diploma,2,,2,Y,2.0,1
12495_25,T_3,T,134,25,offline,intermediate,12495,F,High School Diploma,1,,2,N,2.0,0
13343_138,Y_2,Y,120,138,offline,intermediate,13343,F,Matriculation,4,44.0,2,N,5.0,1
8371_164,Z_3,Z,130,164,online,easy,8371,F,Bachelors,2,45.0,1,N,2.0,1
7064_102,X_3,X,136,102,offline,hard,7064,M,Matriculation,4,48.0,2,N,4.0,1
9785_82,V_3,V,131,82,offline,intermediate,9785,M,Matriculation,4,,2,N,3.0,1
10372_48,U_2,U,122,48,offline,easy,10372,M,High School Diploma,1,28.0,2,N,3.0,1
6280_68,V_4,V,122,68,offline,intermediate,6280,M,High School Diploma,1,,2,N,3.0,1
12970_65,U_1,U,134,65,offline,vary hard,12970,M,Matriculation,1,31.0,2,N,1.0,0
600_126,Y_3,Y,135,126,offline,intermediate,600,F,High School Diploma,3,45.0,4,N,4.0,1
14535_140,Y_2,Y,120,140,offline,hard,14535,M,Bachelors,1,44.0,2,N,4.0,0
6266_28,T_3,T,134,28,online,easy,6266,F,Matriculation,3,,2,N,1.0,1
10549_135,Y_3,Y,135,135,online,easy,10549,M,Matriculation,3,,2,N,4.0,1
8453_125,Y_3,Y,135,125,offline,intermediate,8453,M,High School Diploma,1,,2,N,2.0,1
3709_57,U_1,U,134,57,offline,easy,3709,M,High School Diploma,1,,2,N,2.0,1
15551_57,U_1,U,134,57,offline,easy,15551,F,High School Diploma,3,34.0,6,N,1.0,0
9281_162,Z_3,Z,130,162,offline,easy,9281,M,Bachelors,4,31.0,1,N,1.0,0
7776_15,T_4,T,120,15,offline,intermediate,7776,F,Bachelors,1,29.0,2,N,1.0,0
19877_73,V_4,V,122,73,online,easy,19877,F,High School Diploma,1,,6,Y,2.0,1
11507_126,Y_3,Y,135,126,offline,intermediate,11507,M,High School Diploma,1,,2,N,5.0,1
15672_98,V_1,V,133,98,offline,hard,15672,F,Matriculation,3,,4,Y,1.0,0
10990_125,Y_3,Y,135,125,offline,intermediate,10990,M,High School Diploma,3,,2,N,5.0,1
14881_99,V_1,V,133,99,offline,hard,14881,F,High School Diploma,1,45.0,2,N,5.0,1
15591_159,Y_1,Y,136,159,online,easy,15591,M,Matriculation,3,,2,N,5.0,1
6893_142,Y_2,Y,120,142,online,easy,6893,M,Matriculation,2,,2,N,2.0,0
5653_25,T_3,T,134,25,offline,intermediate,5653,F,High School Diploma,4,41.0,2,N,2.0,1
6819_114,Y_4,Y,121,114,offline,intermediate,6819,M,Matriculation,3,31.0,2,N,2.0,0
8203_26,T_3,T,134,26,offline,intermediate,8203,F,High School Diploma,3,,2,N,2.0,1
13782_140,Y_2,Y,120,140,offline,hard,13782,M,Matriculation,3,,4,Y,4.0,0
17175_45,T_1,T,131,45,offline,intermediate,17175,F,High School Diploma,3,44.0,4,N,2.0,1
3373_101,X_3,X,136,101,offline,intermediate,3373,M,Matriculation,2,18.0,4,N,1.0,0
12627_39,T_2,T,117,39,online,easy,12627,F,High School Diploma,3,31.0,2,Y,1.0,1
3483_72,V_4,V,122,72,offline,vary hard,3483,F,Matriculation,2,43.0,2,Y,2.0,0
1686_4,S_2,S,134,4,offline,hard,1686,M,Matriculation,1,43.0,2,N,1.0,0
11027_40,T_2,T,117,40,online,easy,11027,F,Matriculation,1,46.0,4,N,3.0,1
10371_51,U_2,U,122,51,offline,intermediate,10371,M,Bachelors,1,26.0,1,N,2.0,1
2018_58,U_1,U,134,58,offline,intermediate,2018,M,High School Diploma,2,25.0,2,N,1.0,0
2466_70,V_4,V,122,70,offline,intermediate,2466,F,Bachelors,3,44.0,3,N,5.0,1
10116_163,Z_3,Z,130,163,offline,easy,10116,F,Matriculation,1,,1,N,2.0,1
10122_134,Y_3,Y,135,134,online,easy,10122,M,High School Diploma,4,,4,N,2.0,0
2594_49,U_2,U,122,49,offline,intermediate,2594,F,High School Diploma,1,41.0,3,N,4.0,1
18916_43,T_1,T,131,43,offline,easy,18916,F,High School Diploma,3,43.0,2,N,1.0,0
18556_156,Y_1,Y,136,156,online,easy,18556,F,Matriculation,3,46.0,2,N,5.0,0
4424_29,T_3,T,134,29,online,easy,4424,F,High School Diploma,3,,2,N,1.0,1
18144_128,Y_3,Y,135,128,offline,hard,18144,M,High School Diploma,3,40.0,2,N,3.0,1
4732_119,Y_4,Y,121,119,online,easy,4732,M,Matriculation,2,,4,N,4.0,0
15433_159,Y_1,Y,136,159,online,easy,15433,M,Bachelors,1,,4,N,3.0,1
9757_133,Y_3,Y,135,133,online,easy,9757,M,Bachelors,1,28.0,4,N,4.0,1
8244_186,Z_1,Z,136,186,online,easy,8244,F,Matriculation,4,27.0,1,N,1.0,1
8304_32,T_2,T,117,32,offline,easy,8304,F,Matriculation,3,19.0,4,N,1.0,0
592_40,T_2,T,117,40,online,easy,592,F,High School Diploma,4,27.0,4,N,1.0,1
7967_12,T_4,T,120,12,offline,intermediate,7967,M,Bachelors,2,44.0,4,N,1.0,1
7230_17,T_4,T,120,17,online,easy,7230,F,High School Diploma,3,29.0,2,Y,2.0,1
100_153,Y_1,Y,136,153,offline,hard,100,M,Matriculation,4,26.0,4,N,3.0,1
15788_112,X_1,X,134,112,offline,hard,15788,M,Matriculation,4,28.0,2,N,3.0,1
4437_48,U_2,U,122,48,offline,easy,4437,M,Bachelors,1,45.0,2,N,1.0,0
2335_134,Y_3,Y,135,134,online,easy,2335,F,High School Diploma,2,45.0,4,N,4.0,1
13210_87,V_2,V,121,87,offline,easy,13210,M,Matriculation,4,47.0,2,N,1.0,0
10240_27,T_3,T,134,27,online,easy,10240,F,High School Diploma,3,,4,N,2.0,1
10377_130,Y_3,Y,135,130,online,easy,10377,M,Matriculation,2,42.0,4,Y,4.0,1
10274_131,Y_3,Y,135,131,online,easy,10274,M,High School Diploma,4,,4,N,5.0,0
4929_104,X_3,X,136,104,offline,hard,4929,M,High School Diploma,1,25.0,3,N,3.0,1
10191_61,U_1,U,134,61,online,easy,10191,M,Matriculation,2,28.0,2,N,1.0,1
3478_30,T_3,T,134,30,online,easy,3478,F,Bachelors,3,41.0,4,N,1.0,0
645_173,Z_2,Z,120,173,online,easy,645,F,Matriculation,3,36.0,1,N,1.0,1
16110_152,Y_1,Y,136,152,offline,hard,16110,M,Matriculation,2,,2,N,5.0,1
1572_21,T_3,T,134,21,offline,easy,1572,F,Matriculation,1,44.0,2,N,3.0,1
677_23,T_3,T,134,23,offline,intermediate,677,F,Matriculation,3,30.0,2,N,5.0,1
11387_84,V_3,V,131,84,offline,intermediate,11387,F,High School Diploma,2,26.0,2,N,2.0,1
15373_64,U_1,U,134,64,online,easy,15373,M,Matriculation,3,,4,N,4.0,1
9464_21,T_3,T,134,21,offline,easy,9464,F,High School Diploma,3,23.0,4,N,1.0,1
17192_47,T_1,T,131,47,offline,hard,17192,F,High School Diploma,1,,2,N,1.0,0
15556_179,Z_1,Z,136,179,offline,easy,15556,F,Matriculation,1,48.0,1,N,1.0,1
4098_14,T_4,T,120,14,offline,intermediate,4098,F,High School Diploma,4,45.0,6,N,1.0,0
11279_127,Y_3,Y,135,127,offline,hard,11279,F,Bachelors,1,,3,Y,2.0,1
11695_21,T_3,T,134,21,offline,easy,11695,F,Matriculation,3,28.0,4,N,1.0,0
18776_165,Z_3,Z,130,165,online,easy,18776,F,Matriculation,4,,1,N,1.0,1
3933_68,V_4,V,122,68,offline,intermediate,3933,M,High School Diploma,1,30.0,4,N,1.0,0
9010_132,Y_3,Y,135,132,online,easy,9010,F,High School Diploma,3,29.0,2,N,4.0,1
11457_62,U_1,U,134,62,online,easy,11457,M,Matriculation,3,49.0,2,N,1.0,0
10070_55,U_2,U,122,55,online,easy,10070,F,High School Diploma,2,29.0,2,Y,2.0,1
9329_130,Y_3,Y,135,130,online,easy,9329,M,High School Diploma,3,,5,N,4.0,1
16168_65,U_1,U,134,65,offline,vary hard,16168,F,High School Diploma,2,33.0,2,N,3.0,1
16691_151,Y_1,Y,136,151,offline,hard,16691,M,Bachelors,1,26.0,2,N,2.0,0
10440_132,Y_3,Y,135,132,online,easy,10440,F,High School Diploma,4,,3,N,2.0,0
10714_168,Z_3,Z,130,168,online,easy,10714,F,Matriculation,2,47.0,1,N,1.0,1
12993_174,Z_2,Z,120,174,online,easy,12993,F,Matriculation,3,,1,Y,2.0,1
11833_131,Y_3,Y,135,131,online,easy,11833,F,Bachelors,2,43.0,2,N,4.0,1
14911_182,Z_1,Z,136,182,online,easy,14911,F,Matriculation,2,23.0,1,N,2.0,1
14861_155,Y_1,Y,136,155,online,easy,14861,M,High School Diploma,1,28.0,2,N,3.0,1
5011_130,Y_3,Y,135,130,online,easy,5011,M,High School Diploma,1,29.0,3,N,2.0,1
9042_39,T_2,T,117,39,online,easy,9042,F,Matriculation,3,42.0,4,N,1.0,1
5802_113,Y_4,Y,121,113,offline,intermediate,5802,M,High School Diploma,2,,2,N,4.0,1
14405_181,Z_1,Z,136,181,offline,easy,14405,F,Matriculation,1,,1,N,1.0,0
2192_57,U_1,U,134,57,offline,easy,2192,M,Matriculation,1,,2,N,4.0,1
8010_127,Y_3,Y,135,127,offline,hard,8010,M,Matriculation,3,27.0,4,N,4.0,1
5873_122,Y_4,Y,121,122,online,easy,5873,M,Bachelors,2,44.0,2,N,5.0,0
12430_40,T_2,T,117,40,online,easy,12430,F,Matriculation,3,,2,N,1.0,1
9616_63,U_1,U,134,63,online,easy,9616,M,High School Diploma,3,45.0,2,N,3.0,1
13558_146,Y_2,Y,120,146,online,easy,13558,M,Matriculation,1,43.0,2,N,4.0,0
1151_22,T_3,T,134,22,offline,intermediate,1151,M,Matriculation,1,,2,N,1.0,0
4483_124,Y_4,Y,121,124,online,easy,4483,F,High School Diploma,1,43.0,3,N,5.0,1
19314_24,T_3,T,134,24,offline,intermediate,19314,F,Matriculation,2,,6,N,1.0,1
9904_126,Y_3,Y,135,126,offline,intermediate,9904,M,High School Diploma,3,26.0,2,N,3.0,1
17814_93,V_2,V,121,93,offline,vary hard,17814,M,Bachelors,3,45.0,6,N,1.0,1
8168_154,Y_1,Y,136,154,online,easy,8168,M,High School Diploma,3,45.0,2,N,3.0,1
11611_131,Y_3,Y,135,131,online,easy,11611,M,Matriculation,2,,4,N,3.0,1
4467_115,Y_4,Y,121,115,offline,hard,4467,F,High School Diploma,3,31.0,2,N,4.0,1
15347_150,Y_1,Y,136,150,offline,intermediate,15347,M,High School Diploma,1,,4,N,2.0,1
643_87,V_2,V,121,87,offline,easy,643,F,Matriculation,4,23.0,4,N,1.0,0
18478_2,S_2,S,134,2,offline,intermediate,18478,M,Matriculation,2,48.0,4,N,2.0,1
2478_117,Y_4,Y,121,117,offline,hard,2478,M,Bachelors,1,28.0,2,N,3.0,1
7641_118,Y_4,Y,121,118,online,easy,7641,M,Matriculation,3,28.0,2,N,5.0,1
3213_19,T_4,T,120,19,online,easy,3213,F,High School Diploma,3,,2,N,3.0,1
12515_107,X_2,X,121,107,offline,hard,12515,M,High School Diploma,3,47.0,1,N,4.0,1
5330_12,T_4,T,120,12,offline,intermediate,5330,F,High School Diploma,3,,2,N,1.0,1
5779_28,T_3,T,134,28,online,easy,5779,F,Bachelors,3,,2,N,1.0,1
3739_138,Y_2,Y,120,138,offline,intermediate,3739,M,High School Diploma,1,,2,N,4.0,1
11143_145,Y_2,Y,120,145,online,easy,11143,M,Matriculation,3,46.0,2,N,4.0,1
13337_56,U_2,U,122,56,offline,vary hard,13337,M,High School Diploma,2,46.0,2,N,3.0,1
5337_68,V_4,V,122,68,offline,intermediate,5337,F,High School Diploma,3,,4,N,1.0,1
1320_95,V_1,V,133,95,offline,easy,1320,F,Bachelors,3,28.0,3,N,2.0,1
12250_29,T_3,T,134,29,online,easy,12250,F,High School Diploma,1,44.0,2,N,3.0,1
8590_50,U_2,U,122,50,offline,intermediate,8590,M,Bachelors,1,29.0,3,N,2.0,1
19292_10,T_4,T,120,10,offline,easy,19292,F,Matriculation,4,,4,N,1.0,0
5234_113,Y_4,Y,121,113,offline,intermediate,5234,M,Matriculation,2,,2,N,2.0,1
19116_130,Y_3,Y,135,130,online,easy,19116,M,High School Diploma,3,44.0,7,N,4.0,1
9081_166,Z_3,Z,130,166,online,easy,9081,F,Matriculation,3,21.0,1,N,2.0,0
10686_101,X_3,X,136,101,offline,intermediate,10686,M,High School Diploma,1,29.0,1,N,2.0,1
7736_66,V_4,V,122,66,offline,easy,7736,M,High School Diploma,2,,2,N,1.0,0
19422_124,Y_4,Y,121,124,online,easy,19422,M,Matriculation,3,27.0,2,N,3.0,0
9071_94,V_1,V,133,94,offline,easy,9071,F,Matriculation,1,,3,N,3.0,0
14531_142,Y_2,Y,120,142,online,easy,14531,M,High School Diploma,1,,2,N,3.0,1
12518_87,V_2,V,121,87,offline,easy,12518,M,Matriculation,2,42.0,4,Y,3.0,1
7559_22,T_3,T,134,22,offline,intermediate,7559,F,High School Diploma,3,26.0,2,N,1.0,1
14134_137,Y_2,Y,120,137,offline,intermediate,14134,F,High School Diploma,1,,3,N,5.0,1
18664_158,Y_1,Y,136,158,online,easy,18664,F,High School Diploma,1,44.0,2,N,5.0,1
314_167,Z_3,Z,130,167,online,easy,314,F,Matriculation,1,31.0,1,Y,1.0,1
19408_20,T_4,T,120,20,online,easy,19408,F,Matriculation,3,26.0,2,N,4.0,1
10367_166,Z_3,Z,130,166,online,easy,10367,F,High School Diploma,2,27.0,1,N,1.0,1
109_117,Y_4,Y,121,117,offline,hard,109,M,Bachelors,2,43.0,3,N,3.0,1
5935_128,Y_3,Y,135,128,offline,hard,5935,M,High School Diploma,3,,3,N,4.0,0
6035_117,Y_4,Y,121,117,offline,hard,6035,F,Bachelors,3,,4,N,4.0,1
8462_80,V_3,V,131,80,offline,easy,8462,F,High School Diploma,3,33.0,3,Y,2.0,1
1644_87,V_2,V,121,87,offline,easy,1644,F,High School Diploma,2,25.0,3,Y,1.0,1
710_158,Y_1,Y,136,158,online,easy,710,M,Matriculation,3,27.0,2,N,4.0,1
3472_113,Y_4,Y,121,113,offline,intermediate,3472,M,Bachelors,2,32.0,7,N,2.0,0
13678_57,U_1,U,134,57,offline,easy,13678,M,High School Diploma,1,,2,N,3.0,1
10644_23,T_3,T,134,23,offline,intermediate,10644,F,High School Diploma,1,,2,N,2.0,1
1474_160,Y_1,Y,136,160,online,easy,1474,M,Bachelors,1,28.0,3,N,4.0,1
18447_186,Z_1,Z,136,186,online,easy,18447,F,Matriculation,3,48.0,1,N,2.0,1
7246_80,V_3,V,131,80,offline,easy,7246,M,Bachelors,3,41.0,2,N,1.0,0
15681_96,V_1,V,133,96,offline,easy,15681,M,Matriculation,2,,4,N,1.0,0
6514_120,Y_4,Y,121,120,online,easy,6514,M,Matriculation,3,27.0,2,N,3.0,0
2160_16,T_4,T,120,16,online,easy,2160,F,Matriculation,1,24.0,2,N,1.0,1
7252_138,Y_2,Y,120,138,offline,intermediate,7252,M,High School Diploma,4,,2,Y,1.0,1
535_173,Z_2,Z,120,173,online,easy,535,M,High School Diploma,2,,2,N,1.0,1
20054_91,V_2,V,121,91,offline,intermediate,20054,M,High School Diploma,1,31.0,2,N,1.0,1
12842_177,Z_2,Z,120,177,online,easy,12842,M,High School Diploma,3,42.0,1,N,2.0,1
18178_58,U_1,U,134,58,offline,intermediate,18178,M,High School Diploma,2,41.0,2,N,1.0,1
17276_61,U_1,U,134,61,online,easy,17276,M,High School Diploma,3,27.0,4,N,2.0,1
6254_161,Z_3,Z,130,161,offline,easy,6254,F,High School Diploma,2,25.0,1,N,1.0,0
765_77,V_4,V,122,77,online,easy,765,M,High School Diploma,3,,2,N,1.0,1
9338_52,U_2,U,122,52,online,easy,9338,F,Bachelors,2,41.0,3,N,2.0,1
17591_57,U_1,U,134,57,offline,easy,17591,M,High School Diploma,3,28.0,4,N,2.0,1
16424_154,Y_1,Y,136,154,online,easy,16424,M,High School Diploma,3,,2,Y,3.0,1
8151_73,V_4,V,122,73,online,easy,8151,M,High School Diploma,3,31.0,2,N,1.0,0
18626_24,T_3,T,134,24,offline,intermediate,18626,M,Matriculation,3,47.0,2,N,1.0,0
6931_13,T_4,T,120,13,offline,intermediate,6931,F,Matriculation,1,32.0,2,N,1.0,1
7851_95,V_1,V,133,95,offline,easy,7851,M,High School Diploma,1,22.0,2,N,1.0,0
13615_58,U_1,U,134,58,offline,intermediate,13615,M,High School Diploma,1,,4,Y,1.0,1
19234_38,T_2,T,117,38,online,easy,19234,F,Matriculation,4,,2,Y,1.0,1
16874_99,V_1,V,133,99,offline,hard,16874,M,High School Diploma,1,,4,N,1.0,1
12551_41,T_2,T,117,41,online,easy,12551,F,High School Diploma,3,,2,N,1.0,1
7397_119,Y_4,Y,121,119,online,easy,7397,M,Bachelors,1,,2,N,4.0,1
777_81,V_3,V,131,81,offline,intermediate,777,M,High School Diploma,2,24.0,2,N,1.0,1
8442_65,U_1,U,134,65,offline,vary hard,8442,M,High School Diploma,4,,2,N,1.0,0
12428_27,T_3,T,134,27,online,easy,12428,F,Matriculation,3,43.0,2,N,1.0,1
9639_23,T_3,T,134,23,offline,intermediate,9639,F,Matriculation,3,45.0,2,N,1.0,1
7561_123,Y_4,Y,121,123,online,easy,7561,M,Bachelors,2,44.0,4,Y,4.0,1
4445_38,T_2,T,117,38,online,easy,4445,F,Matriculation,1,30.0,2,Y,1.0,1
1971_10,T_4,T,120,10,offline,easy,1971,F,Matriculation,3,,2,N,1.0,0
10421_162,Z_3,Z,130,162,offline,easy,10421,M,Matriculation,3,,1,N,1.0,0
14914_181,Z_1,Z,136,181,offline,easy,14914,M,Matriculation,3,,1,N,1.0,0
18665_38,T_2,T,117,38,online,easy,18665,F,High School Diploma,2,43.0,2,N,3.0,1
2791_130,Y_3,Y,135,130,online,easy,2791,M,Bachelors,4,,2,N,3.0,1
15265_110,X_1,X,134,110,offline,hard,15265,M,Matriculation,1,33.0,2,N,4.0,1
4212_68,V_4,V,122,68,offline,intermediate,4212,F,Matriculation,2,,4,N,4.0,1
17778_109,X_1,X,134,109,offline,intermediate,17778,F,Bachelors,4,25.0,4,N,1.0,1
5949_122,Y_4,Y,121,122,online,easy,5949,M,Matriculation,3,32.0,3,N,4.0,0
8193_46,T_1,T,131,46,offline,hard,8193,F,High School Diploma,3,45.0,2,N,1.0,1
20018_177,Z_2,Z,120,177,online,easy,20018,F,Matriculation,1,48.0,1,N,2.0,1
11168_130,Y_3,Y,135,130,online,easy,11168,M,High School Diploma,2,18.0,2,N,1.0,1
8361_30,T_3,T,134,30,online,easy,8361,F,High School Diploma,2,47.0,2,N,2.0,1
13840_170,Z_2,Z,120,170,offline,easy,13840,F,High School Diploma,1,,1,Y,1.0,1
5034_63,U_1,U,134,63,online,easy,5034,F,High School Diploma,3,,1,N,5.0,1
4145_128,Y_3,Y,135,128,offline,hard,4145,M,Matriculation,2,42.0,2,N,3.0,1
4516_84,V_3,V,131,84,offline,intermediate,4516,F,High School Diploma,3,,6,N,1.0,0
10898_172,Z_2,Z,120,172,offline,easy,10898,M,High School Diploma,2,42.0,1,N,1.0,0
13685_159,Y_1,Y,136,159,online,easy,13685,M,Matriculation,4,,3,N,5.0,1
11670_63,U_1,U,134,63,online,easy,11670,M,High School Diploma,2,41.0,3,N,2.0,0
10293_103,X_3,X,136,103,offline,hard,10293,M,Bachelors,2,44.0,4,Y,5.0,0
16521_158,Y_1,Y,136,158,online,easy,16521,F,Matriculation,3,,4,N,3.0,1
3750_31,T_3,T,134,31,online,easy,3750,F,Matriculation,2,44.0,2,N,1.0,1
17899_114,Y_4,Y,121,114,offline,intermediate,17899,M,High School Diploma,2,48.0,2,N,4.0,1
1106_187,Z_1,Z,136,187,online,easy,1106,F,High School Diploma,3,46.0,1,N,3.0,1
12813_106,X_2,X,121,106,offline,hard,12813,M,High School Diploma,3,,2,N,2.0,1
16940_159,Y_1,Y,136,159,online,easy,16940,M,Matriculation,1,,2,N,4.0,0
3361_65,U_1,U,134,65,offline,vary hard,3361,M,High School Diploma,3,,2,N,1.0,0
